tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwkdy18,complex_nm,trains,avwken13,avwken14,avwken15,avwken16,avwken17,avwken18
3677764.0,3851372.0,3796909.0,4586559.0,4088721.0,3700661,10873.0,11341.0,11430.0,14201.0,12514,11474,8 Av,N,16484.0,17434.0,15960.0,17252.0,16278,14040
801109.0,837472.0,859293.0,419039.0,494456.0,609555,2515.0,2622.0,2718.0,1298.0,1534,1928,86 St,N,2934.0,3090.0,3023.0,1578.0,1900,2165
3662602.0,3753132.0,3747601.0,3752400.0,3516712.0,3470741,11648.0,11920.0,11963.0,12078.0,11742,11338,86 St,R,12819.0,13178.0,12889.0,12263.0,9662,10657
1896942.0,1938987.0,1843944.0,1858368.0,1737192.0,1667200,5857.0,6004.0,5856.0,5867.0,5471,5344,9 Av,D,7383.0,7466.0,6372.0,6541.0,6297,5560
770075.0,784998.0,814578.0,834945.0,755935.0,652030,2443.0,2448.0,2520.0,2585.0,2424,2147,Alabama Av,J,2687.0,2948.0,3163.0,3206.0,2540,1930
482835.0,535041.0,422505.0,436300.0,557103.0,559411,1580.0,1725.0,1384.0,1455.0,1821,1842,Atlantic Av,L,1474.0,1752.0,1267.0,1179.0,1728,1647
13122876.0,13617153.0,13690678.0,13818168.0,13571093.0,13807282,39871.0,41645.0,42231.0,42711.0,42095,43211,Atlantic Av-Barclays Ctr,2 3 4 5 B D N Q R,54754.0,55601.0,54221.0,53638.0,53133,51838
875106.0,896279.0,899662.0,952855.0,1006747.0,1034018,2861.0,2961.0,2994.0,3183.0,3329,3418,Avenue H,Q,2669.0,2584.0,2506.0,2590.0,2948,3000
699582.0,696140.0,672710.0,585217.0,326469.0,326005,2283.0,2250.0,2235.0,1962.0,1111,1096,Avenue I,F,2146.0,2236.0,1874.0,1529.0,783,835
1867576.0,1850087.0,1848674.0,1867727.0,1912497.0,1878547,6036.0,6060.0,6009.0,6136.0,6154,6058,Avenue J,Q,5994.0,5528.0,5782.0,5524.0,6327,6098
1730576.0,1731955.0,1733583.0,1776762.0,1828941.0,1808189,5836.0,5903.0,5869.0,6052.0,6094,6001,Avenue M,Q,4429.0,4111.0,4345.0,4246.0,5091,5064
1044429.0,1050916.0,1027713.0,941921.0,643200.0,612201,3411.0,3419.0,3410.0,3187.0,2217,2087,Avenue N,F,3202.0,3282.0,2888.0,2320.0,1417,1447
861095.0,864424.0,858733.0,809816.0,534727.0,509036,2757.0,2767.0,2804.0,2688.0,1821,1710,Avenue P,F,2899.0,2909.0,2628.0,2244.0,1290,1318
